# time x y z
1609761767863656022 2.78216 -2.86357 19.5182
1609761767868656022 2.76301 -2.88751 19.5517
1609761767873656022 2.76301 -2.88751 19.5517
1609761767878656022 2.77258 -2.88751 19.5134
1609761767883656022 2.76301 -2.88272 19.5182
1609761767888656022 2.76301 -2.88272 19.5182
1609761767893656022 2.78216 -2.8923 19.5182
1609761767898656022 2.78216 -2.8923 19.5182
1609761767903656022 2.80132 -2.91624 19.5374
1609761767908656022 2.80132 -2.91624 19.5374
1609761767913656022 2.8061 -2.94018 19.5374
1609761767918656022 2.8061 -2.94018 19.5374
1609761767923656022 2.78216 -2.9354 19.5278
1609761767928656022 2.78216 -2.9354 19.5278
1609761767933656022 2.77258 -2.90188 19.5565
1609761767938656022 2.77258 -2.90188 19.5565
1609761767943656022 2.71033 -2.89709 19.5182
1609761767948656022 2.71033 -2.89709 19.5182
1609761767953656022 2.73906 -2.88751 19.4943
1609761767958656022 2.73906 -2.88751 19.4943
1609761767963656022 2.75822 -2.90188 19.5086
1609761767968656022 2.75822 -2.90188 19.5086
1609761767973656022 2.77258 -2.92582 19.5374
1609761767978656022 2.77258 -2.92582 19.5374
1609761767983656022 2.78695 -2.94497 19.5278
1609761767988656022 2.78695 -2.94497 19.5278
1609761767993656022 2.79174 -2.94976 19.5326
1609761767998656022 2.79174 -2.94976 19.5326
1609761768003656022 2.79653 -2.91145 19.5182
1609761768008656022 2.79653 -2.91145 19.5182
1609761768013656022 2.75343 -2.88751 19.456
1609761768018656022 2.75343 -2.88751 19.456
1609761768023656022 2.77258 -2.90666 19.5039
1609761768028656022 2.77258 -2.90666 19.5039
1609761768033656022 2.75343 -2.92582 19.5182
1609761768038656022 2.75343 -2.92582 19.5182
1609761768043656022 2.77258 -2.91145 19.547
1609761768048656022 2.77258 -2.91145 19.547
1609761768053656022 2.78216 -2.94018 19.5757
1609761768058656022 2.78216 -2.94018 19.5757
1609761768063656022 2.78216 -2.94497 19.5374
1609761768068656022 2.78216 -2.94497 19.5374
1609761768073656022 2.78216 -2.91624 19.4847
1609761768078656022 2.78216 -2.91624 19.4847
1609761768083656022 2.79174 -2.90666 19.4847
1609761768088656022 2.79174 -2.90666 19.4847
1609761768093656022 2.74864 -2.91624 19.5039
1609761768098656022 2.74864 -2.91624 19.5039
1609761768103656022 2.77258 -2.91624 19.5182
1609761768108656022 2.77258 -2.91624 19.5182
1609761768113656022 2.79653 -2.91145 19.5182
1609761768118656022 2.79653 -2.91145 19.5182
1609761768123656022 2.8061 -2.90666 19.5039
1609761768128656022 2.8061 -2.90666 19.5039
1609761768133656022 2.74385 -2.91145 19.5039
1609761768138656022 2.74385 -2.91145 19.5039
1609761768143656022 2.77737 -2.91624 19.523
1609761768148656022 2.77737 -2.91624 19.523
1609761768153656022 2.78216 -2.91145 19.5517
1609761768158656022 2.78216 -2.91145 19.5517
1609761768163656022 2.76301 -2.94497 19.5134
1609761768168656022 2.76301 -2.94497 19.5134
1609761768173656022 2.79653 -2.90666 19.4991
1609761768178656022 2.79653 -2.90666 19.4991
1609761768183656022 2.79174 -2.90666 19.5326
1609761768188656022 2.79174 -2.90666 19.5326
1609761768193656022 2.80132 -2.91145 19.5278
1609761768198656022 2.80132 -2.91145 19.5278
1609761768203656022 2.77737 -2.91145 19.547
1609761768208656022 2.77737 -2.91145 19.547
1609761768213656022 2.74385 -2.94497 19.5374
1609761768218656022 2.74385 -2.94497 19.5374
1609761768223656022 2.74385 -2.91145 19.4895
1609761768228656022 2.74385 -2.91145 19.4895
1609761768233656022 2.7247 -2.90188 19.4991
1609761768238656022 2.7247 -2.90188 19.4991
1609761768243656022 2.78216 -2.88751 19.4943
1609761768248656022 2.78216 -2.88751 19.4943
1609761768253656022 2.82526 -2.94018 19.5374
1609761768258656022 2.82526 -2.94018 19.5374
1609761768263656022 2.80132 -2.96892 19.5613
1609761768268656022 2.80132 -2.96892 19.5613
1609761768273656022 2.7678 -2.95455 19.5278
1609761768278656022 2.7678 -2.95455 19.5278
1609761768283656022 2.75822 -2.90188 19.4943
1609761768288656022 2.75822 -2.90188 19.4943
1609761768293656022 2.71033 -2.88751 19.4799
1609761768298656022 2.71033 -2.88751 19.4799
1609761768303656022 2.74385 -2.87793 19.5326
1609761768308656022 2.74385 -2.87793 19.5326
1609761768313656022 2.80132 -2.89709 19.5039
1609761768318656022 2.80132 -2.89709 19.5039
1609761768323656022 2.83005 -2.92582 19.5374
1609761768328656022 2.83005 -2.92582 19.5374
1609761768333656022 2.81089 -2.91624 19.5517
1609761768338656022 2.81089 -2.91624 19.5517
1609761768343656022 2.80132 -2.91145 19.5326
1609761768348656022 2.80132 -2.91145 19.5326
1609761768353656022 2.7678 -2.87314 19.5278
1609761768358656022 2.7678 -2.87314 19.5278
1609761768363656022 2.75343 -2.8923 19.5182
1609761768368656022 2.75343 -2.8923 19.5182
1609761768373656022 2.78695 -2.92103 19.5086
1609761768378656022 2.78695 -2.92103 19.5086
1609761768383656022 2.79653 -2.91145 19.5086
1609761768388656022 2.79653 -2.91145 19.5086
1609761768393656022 2.76301 -2.90666 19.547
1609761768398656022 2.76301 -2.90666 19.547
1609761768403656022 2.71033 -2.87793 19.5374
1609761768408656022 2.71033 -2.87793 19.5374
1609761768413656022 2.75343 -2.86357 19.4991
1609761768418656022 2.75343 -2.86357 19.4991
1609761768423656022 2.77258 -2.88272 19.5278
1609761768428656022 2.77258 -2.88272 19.5278
1609761768433656022 2.74864 -2.94497 19.5374
1609761768438656022 2.74864 -2.94497 19.5374
1609761768443656022 2.78216 -2.9354 19.5374
1609761768448656022 2.78216 -2.9354 19.5374
1609761768453656022 2.77737 -2.92103 19.5326
1609761768458656022 2.77737 -2.92103 19.5326
1609761768463656022 2.79653 -2.89709 19.5086
1609761768468656022 2.79653 -2.89709 19.5086
1609761768473656022 2.74385 -2.90666 19.4847
1609761768478656022 2.74385 -2.90666 19.4847
1609761768483656022 2.75343 -2.89709 19.4751
1609761768488656022 2.75343 -2.89709 19.4751
1609761768493656022 2.7678 -2.86836 19.5374
1609761768498656022 2.7678 -2.86836 19.5374
1609761768503656022 2.81089 -2.90666 19.5517
1609761768508656022 2.81089 -2.90666 19.5517
1609761768513656022 2.80132 -2.91624 19.5613
1609761768518656022 2.80132 -2.91624 19.5613
1609761768523656022 2.7678 -2.90188 19.5182
1609761768528656022 2.7678 -2.90188 19.5182
1609761768533656022 2.73906 -2.92582 19.5565
1609761768538656022 2.73906 -2.92582 19.5565
1609761768543656022 2.7678 -2.9354 19.5086
1609761768548656022 2.7678 -2.9354 19.5086
1609761768553656022 2.81089 -2.93061 19.4847
1609761768558656022 2.81089 -2.93061 19.4847
1609761768563656022 2.79174 -2.90188 19.4943
1609761768568656022 2.79174 -2.90188 19.4943
1609761768573656022 2.75343 -2.92103 19.4991
1609761768578656022 2.75343 -2.92103 19.4991
1609761768583656022 2.74864 -2.92582 19.5326
1609761768588656022 2.74864 -2.92582 19.5326
1609761768593656022 2.78695 -2.88751 19.5086
1609761768598656022 2.78695 -2.88751 19.5086
1609761768603656022 2.77737 -2.88751 19.5278
1609761768608656022 2.77737 -2.88751 19.5278
1609761768613656022 2.76301 -2.90188 19.5039
1609761768618656022 2.76301 -2.90188 19.5039
1609761768623656022 2.79653 -2.91145 19.4991
1609761768628656022 2.79653 -2.91145 19.4991
1609761768633656022 2.80132 -2.94018 19.5374
1609761768638656022 2.80132 -2.94018 19.5374
1609761768643656022 2.77737 -2.95934 19.5134
1609761768648656022 2.77737 -2.95934 19.5134
1609761768653656022 2.75343 -2.92103 19.5278
1609761768658656022 2.75343 -2.92103 19.5278
1609761768663656022 2.76301 -2.92103 19.5182
1609761768668656022 2.76301 -2.92103 19.5182
1609761768673656022 2.77737 -2.88751 19.4751
1609761768678656022 2.77737 -2.88751 19.4751
1609761768683656022 2.77258 -2.89709 19.5086
1609761768688656022 2.77258 -2.89709 19.5086
1609761768693656022 2.75343 -2.91145 19.5134
1609761768698656022 2.75343 -2.91145 19.5134
1609761768703656022 2.75343 -2.92103 19.5517
1609761768708656022 2.75343 -2.92103 19.5517
1609761768713656022 2.75822 -2.88272 19.4703
1609761768718656022 2.75822 -2.88272 19.4703
1609761768723656022 2.74864 -2.92103 19.547
1609761768728656022 2.74864 -2.92103 19.547
1609761768733656022 2.77737 -2.89709 19.4943
1609761768738656022 2.77737 -2.89709 19.4943
1609761768743656022 2.79174 -2.88751 19.4991
1609761768748656022 2.79174 -2.88751 19.4991
1609761768753656022 2.84441 -2.91145 19.5326
1609761768758656022 2.84441 -2.91145 19.5326
1609761768763656022 2.81568 -2.8923 19.547
1609761768768656022 2.81568 -2.8923 19.547
1609761768773656022 2.83005 -2.9354 19.547
1609761768778656022 2.83005 -2.9354 19.547
1609761768783656022 2.79174 -2.94497 19.4703
1609761768788656022 2.79174 -2.94497 19.4703
1609761768793656022 2.77258 -2.90666 19.5517
1609761768798656022 2.77258 -2.90666 19.5517
