# time roll pitch roll
1609761767863656022 -0.0410936 -0.0399254 180
1609761767868656022 -0.0824916 -0.0795353 180
1609761767873656022 -0.12389 -0.119145 180
1609761767878656022 -0.165218 -0.158827 180
1609761767883656022 -0.206583 -0.198472 180
1609761767888656022 -0.247964 -0.238185 180.001
1609761767893656022 -0.289287 -0.277957 180.001
1609761767898656022 -0.330611 -0.317677 180.001
1609761767903656022 -0.371963 -0.357366 180.001
1609761767908656022 -0.413315 -0.39707 180.001
1609761767913656022 -0.454796 -0.436639 180.002
1609761767918656022 -0.496272 -0.476191 180.002
1609761767923656022 -0.537882 -0.51559 180.002
1609761767928656022 -0.579498 -0.554988 180.003
1609761767933656022 -0.620944 -0.594559 180.003
1609761767938656022 -0.662384 -0.634118 180.004
1609761767943656022 -0.704268 -0.673211 180.004
1609761767948656022 -0.746162 -0.712303 180.005
1609761767953656022 -0.787759 -0.751722 180.005
1609761767958656022 -0.829371 -0.791124 180.006
1609761767963656022 -0.870951 -0.830581 180.006
1609761767968656022 -0.912524 -0.870053 180.007
1609761767973656022 -0.954143 -0.909459 180.008
1609761767978656022 -0.995778 -0.948853 180.008
1609761767983656022 -1.03744 -0.98823 180.009
1609761767988656022 -1.07908 -1.02759 180.01
1609761767993656022 -1.12073 -1.06693 180.011
1609761767998656022 -1.16236 -1.10628 180.011
1609761768003656022 -1.20366 -1.14598 180.012
1609761768008656022 -1.24495 -1.18568 180.013
1609761768013656022 -1.28643 -1.22521 180.014
1609761768018656022 -1.3279 -1.26473 180.015
1609761768023656022 -1.36939 -1.30427 180.016
1609761768028656022 -1.41088 -1.34381 180.017
1609761768033656022 -1.45269 -1.383 180.018
1609761768038656022 -1.49449 -1.42219 180.019
1609761768043656022 -1.536 -1.46166 180.02
1609761768048656022 -1.5775 -1.50115 180.021
1609761768053656022 -1.61916 -1.54046 180.022
1609761768058656022 -1.66081 -1.57977 180.023
1609761768063656022 -1.70251 -1.61903 180.025
1609761768068656022 -1.74421 -1.65829 180.026
1609761768073656022 -1.78567 -1.6978 180.027
1609761768078656022 -1.82713 -1.73732 180.028
1609761768083656022 -1.86843 -1.77701 180.029
1609761768088656022 -1.90972 -1.81669 180.031
1609761768093656022 -1.95149 -1.85587 180.032
1609761768098656022 -1.99326 -1.89504 180.034
1609761768103656022 -2.03479 -1.93446 180.035
1609761768108656022 -2.07634 -1.97387 180.036
1609761768113656022 -2.11762 -2.01356 180.038
1609761768118656022 -2.1589 -2.05324 180.039
1609761768123656022 -2.20005 -2.09306 180.041
1609761768128656022 -2.2412 -2.13287 180.042
1609761768133656022 -2.28299 -2.172 180.044
1609761768138656022 -2.32479 -2.21115 180.045
1609761768143656022 -2.36631 -2.25058 180.047
1609761768148656022 -2.40783 -2.29001 180.049
1609761768153656022 -2.44925 -2.32952 180.05
1609761768158656022 -2.49066 -2.36903 180.052
1609761768163656022 -2.53257 -2.408 180.054
1609761768168656022 -2.57448 -2.44698 180.056
1609761768173656022 -2.6157 -2.48668 180.057
1609761768178656022 -2.65692 -2.52639 180.059
1609761768183656022 -2.69819 -2.56605 180.061
1609761768188656022 -2.73946 -2.60571 180.063
1609761768193656022 -2.78066 -2.6454 180.065
1609761768198656022 -2.82187 -2.6851 180.067
1609761768203656022 -2.86333 -2.72453 180.069
1609761768208656022 -2.90481 -2.76395 180.071
1609761768213656022 -2.94696 -2.80261 180.073
1609761768218656022 -2.98911 -2.84127 180.075
1609761768223656022 -3.03092 -2.8803 180.077
1609761768228656022 -3.07273 -2.91934 180.079
1609761768233656022 -3.11465 -2.95824 180.081
1609761768238656022 -3.15659 -2.99714 180.083
1609761768243656022 -3.19772 -3.03689 180.086
1609761768248656022 -3.23885 -3.07663 180.088
1609761768253656022 -3.28006 -3.11626 180.09
1609761768258656022 -3.32127 -3.1559 180.092
1609761768263656022 -3.36306 -3.19492 180.095
1609761768268656022 -3.40484 -3.23394 180.097
1609761768273656022 -3.44686 -3.2727 180.099
1609761768278656022 -3.48887 -3.31146 180.102
1609761768283656022 -3.5304 -3.35071 180.104
1609761768288656022 -3.57193 -3.38995 180.107
1609761768293656022 -3.61391 -3.42875 180.109
1609761768298656022 -3.65588 -3.46754 180.112
1609761768303656022 -3.69732 -3.5069 180.114
1609761768308656022 -3.73878 -3.54627 180.117
1609761768313656022 -3.77973 -3.58615 180.119
1609761768318656022 -3.82067 -3.62601 180.122
1609761768323656022 -3.86161 -3.66589 180.125
1609761768328656022 -3.90254 -3.70574 180.127
1609761768333656022 -3.94359 -3.74546 180.13
1609761768338656022 -3.98463 -3.78517 180.133
1609761768343656022 -4.02574 -3.82479 180.135
1609761768348656022 -4.06685 -3.86443 180.138
1609761768353656022 -4.1079 -3.90412 180.141
1609761768358656022 -4.14896 -3.94379 180.144
1609761768363656022 -4.1905 -3.98298 180.147
1609761768368656022 -4.23204 -4.02217 180.15
1609761768373656022 -4.27349 -4.06144 180.153
1609761768378656022 -4.31495 -4.10071 180.155
1609761768383656022 -4.35612 -4.14026 180.158
1609761768388656022 -4.39729 -4.17979 180.161
1609761768393656022 -4.43889 -4.21888 180.164
1609761768398656022 -4.48047 -4.25797 180.168
1609761768403656022 -4.52245 -4.29662 180.171
1609761768408656022 -4.56444 -4.33526 180.174
1609761768413656022 -4.60553 -4.37485 180.177
1609761768418656022 -4.64663 -4.41443 180.18
1609761768423656022 -4.68772 -4.45402 180.183
1609761768428656022 -4.7288 -4.4936 180.187
1609761768433656022 -4.77123 -4.53176 180.19
1609761768438656022 -4.81365 -4.56991 180.193
1609761768443656022 -4.85537 -4.60881 180.197
1609761768448656022 -4.89709 -4.64769 180.2
1609761768453656022 -4.93866 -4.68671 180.203
1609761768458656022 -4.98021 -4.72572 180.207
1609761768463656022 -5.02104 -4.76548 180.21
1609761768468656022 -5.06188 -4.80525 180.214
1609761768473656022 -5.10381 -4.84386 180.217
1609761768478656022 -5.14576 -4.88248 180.221
1609761768483656022 -5.18737 -4.92143 180.224
1609761768488656022 -5.22899 -4.96037 180.228
1609761768493656022 -5.2698 -5.00013 180.231
1609761768498656022 -5.31062 -5.0399 180.235
1609761768503656022 -5.35135 -5.07976 180.239
1609761768508656022 -5.39207 -5.1196 180.242
1609761768513656022 -5.43315 -5.15906 180.246
1609761768518656022 -5.47423 -5.19849 180.25
1609761768523656022 -5.51568 -5.23752 180.253
1609761768528656022 -5.55715 -5.27655 180.257
1609761768533656022 -5.59967 -5.31441 180.261
1609761768538656022 -5.6422 -5.35228 180.265
1609761768543656022 -5.68429 -5.39063 180.269
1609761768548656022 -5.72639 -5.42896 180.273
1609761768553656022 -5.76748 -5.46836 180.277
1609761768558656022 -5.80857 -5.50774 180.281
1609761768563656022 -5.84947 -5.54731 180.285
1609761768568656022 -5.89037 -5.5869 180.289
1609761768573656022 -5.93257 -5.62509 180.293
1609761768578656022 -5.97477 -5.66326 180.297
1609761768583656022 -6.01716 -5.70118 180.301
1609761768588656022 -6.05957 -5.73907 180.306
1609761768593656022 -6.10014 -5.77893 180.31
1609761768598656022 -6.1407 -5.81879 180.314
1609761768603656022 -6.1815 -5.85838 180.318
1609761768608656022 -6.22231 -5.89797 180.322
1609761768613656022 -6.26387 -5.93677 180.326
1609761768618656022 -6.30543 -5.97556 180.331
1609761768623656022 -6.34633 -6.01503 180.335
1609761768628656022 -6.38723 -6.05451 180.339
1609761768633656022 -6.42878 -6.0933 180.344
1609761768638656022 -6.47031 -6.13208 180.348
1609761768643656022 -6.51302 -6.16956 180.353
1609761768648656022 -6.55573 -6.20703 180.357
1609761768653656022 -6.59812 -6.24485 180.362
1609761768658656022 -6.6405 -6.28266 180.367
1609761768663656022 -6.68257 -6.32079 180.371
1609761768668656022 -6.72465 -6.35892 180.376
1609761768673656022 -6.76516 -6.3987 180.38
1609761768678656022 -6.80565 -6.43847 180.385
1609761768683656022 -6.84666 -6.47771 180.39
1609761768688656022 -6.88768 -6.51696 180.394
1609761768693656022 -6.92992 -6.55488 180.399
1609761768698656022 -6.97216 -6.59279 180.404
1609761768703656022 -7.01475 -6.63029 180.409
1609761768708656022 -7.05735 -6.66779 180.414
1609761768713656022 -7.09819 -6.70713 180.419
1609761768718656022 -7.13902 -6.74646 180.423
1609761768723656022 -7.18194 -6.78355 180.428
1609761768728656022 -7.22485 -6.82063 180.433
1609761768733656022 -7.26532 -6.86034 180.438
1609761768738656022 -7.30579 -6.90004 180.443
1609761768743656022 -7.34503 -6.94093 180.448
1609761768748656022 -7.38427 -6.98182 180.453
1609761768753656022 -7.42212 -7.02398 180.457
1609761768758656022 -7.45996 -7.06612 180.462
1609761768763656022 -7.49818 -7.10791 180.467
1609761768768656022 -7.53639 -7.1497 180.471
1609761768773656022 -7.57649 -7.18967 180.476
1609761768778656022 -7.61658 -7.22963 180.481
1609761768783656022 -7.65963 -7.26644 180.487
1609761768788656022 -7.70267 -7.30324 180.492
1609761768793656022 -7.74462 -7.34125 180.498
1609761768798656022 -7.78657 -7.37927 180.503
1609761768803656022 -7.82904 -7.41672 180.509
1609761768808656022 -7.87151 -7.45417 180.514
1609761768813656022 -7.91538 -7.49002 180.52
1609761768818656022 -7.95922 -7.52585 180.526
1609761768823656022 -7.99094 -7.57264 180.53
1609761768828656022 -8.02264 -7.61942 180.534
1609761768833656022 -8.07061 -7.6496 180.54
1609761768838656022 -8.11861 -7.67976 180.547
1609761768843656022 -8.15742 -7.72083 180.552
1609761768848656022 -8.19624 -7.76189 180.557
1609761768853656022 -8.24 -7.79773 180.563
1609761768858656022 -8.28374 -7.83357 180.569
1609761768863656022 -8.32026 -7.87665 180.574
1609761768868656022 -8.35677 -7.91972 180.579
1609761768873656022 -8.41065 -7.93796 180.587
1609761768878656022 -8.46453 -7.95619 180.594
1609761768883656022 -8.51665 -7.97871 180.601
1609761768888656022 -8.56876 -8.00124 180.609
1609761768893656022 -8.51162 -8.00547 180.601
1609761768898656022 -8.45446 -8.00968 180.593
1609761768903656022 -8.51078 -8.01878 180.601
1609761768908656022 -8.56711 -8.02787 180.608
1609761768913656022 -8.5108 -8.01892 180.601
1609761768918656022 -8.45448 -8.00998 180.593
1609761768923656022 -8.4726 -7.95577 180.595
1609761768928656022 -8.4907 -7.90156 180.598
1609761768933656022 -8.48762 -7.95834 180.597
1609761768938656022 -8.48443 -8.01509 180.597
1609761768943656022 -8.53192 -8.0459 180.604
1609761768948656022 -8.57938 -8.07671 180.61
1609761768953656022 -8.52366 -8.0908 180.602
1609761768958656022 -8.57942 -8.07667 180.61
1609761768963656022 -8.58508 -8.0201 180.611
1609761768968656022 -8.57919 -8.07668 180.61
1609761768973656022 -8.52259 -8.0694 180.602
1609761768978656022 -8.57924 -8.0767 180.61
1609761768983656022 -8.54713 -8.03037 180.606
1609761768988656022 -8.51504 -7.98404 180.601
1609761768993656022 -8.45805 -7.99011 180.593
1609761768998656022 -8.40103 -7.99616 180.585
1609761769003656022 -8.43984 -8.03716 180.591
1609761769008656022 -8.40103 -7.99624 180.585
1609761769013656022 -8.45813 -7.99068 180.593
1609761769018656022 -8.51522 -7.98507 180.601
1609761769023656022 -8.56342 -8.01476 180.608
1609761769028656022 -8.61162 -8.04444 180.615
1609761769033656022 -8.56205 -8.01708 180.608
1609761769038656022 -8.51248 -7.98972 180.601
1609761769043656022 -8.46859 -7.95417 180.595
1609761769048656022 -8.4247 -7.91862 180.589
1609761769053656022 -8.40242 -7.97133 180.586
1609761769058656022 -8.38006 -8.02401 180.583
1609761769063656022 -8.4306 -8.04979 180.59
1609761769068656022 -8.48114 -8.07556 180.597
1609761769073656022 -8.5161 -8.02991 180.602
1609761769078656022 -8.55103 -7.98424 180.607
1609761769083656022 -8.60731 -7.9936 180.615
1609761769088656022 -8.55108 -7.98425 180.607
1609761769093656022 -8.50455 -7.95216 180.6
1609761769098656022 -8.55112 -7.9843 180.607
1609761769103656022 -8.49546 -7.99854 180.599
1609761769108656022 -8.43978 -8.01276 180.591
1609761769113656022 -8.40514 -8.05863 180.586
1609761769118656022 -8.37038 -8.10442 180.582
1609761769123656022 -8.41626 -8.06954 180.588
1609761769128656022 -8.46214 -8.03464 180.594
1609761769133656022 -8.4937 -7.98665 180.599
1609761769138656022 -8.52523 -7.93865 180.603
1609761769143656022 -8.57137 -7.97139 180.61
1609761769148656022 -8.6175 -8.00411 180.616
1609761769153656022 -8.56131 -8.016 180.608
1609761769158656022 -8.50513 -8.0279 180.6
1609761769163656022 -8.53559 -7.97923 180.605
1609761769168656022 -8.50513 -8.02789 180.6
1609761769173656022 -8.45356 -8.00427 180.593
1609761769178656022 -8.402 -7.98065 180.586
1609761769183656022 -8.38094 -7.92829 180.583
1609761769188656022 -8.35989 -7.87594 180.58
1609761769193656022 -8.39037 -7.92344 180.585
1609761769198656022 -8.42085 -7.97092 180.589
1609761769203656022 -8.41942 -8.0277 180.589
1609761769208656022 -8.41716 -8.08448 180.588
1609761769213656022 -8.46855 -8.05838 180.595
1609761769218656022 -8.51992 -8.03226 180.603
1609761769223656022 -8.56985 -8.0591 180.61
1609761769228656022 -8.61976 -8.08595 180.617
1609761769233656022 -8.5626 -8.08422 180.609
1609761769238656022 -8.50543 -8.08248 180.601
1609761769243656022 -8.50061 -8.02602 180.6
1609761769248656022 -8.49578 -7.96956 180.599
1609761769253656022 -8.47858 -8.02404 180.597
1609761769258656022 -8.4611 -8.07844 180.594
1609761769263656022 -8.51414 -8.05593 180.602
1609761769268656022 -8.56697 -8.03289 180.609
1609761769273656022 -8.60467 -8.07488 180.615
1609761769278656022 -8.5669 -8.03301 180.609
1609761769283656022 -8.59753 -7.98446 180.614
1609761769288656022 -8.56688 -8.033 180.609
1609761769293656022 -8.51713 -8.06206 180.602
1609761769298656022 -8.46738 -8.09112 180.595
1609761769303656022 -8.47277 -8.03453 180.596
1609761769308656022 -8.47816 -7.97792 180.597
1609761769313656022 -8.42583 -7.95601 180.59
1609761769318656022 -8.47819 -7.97803 180.597
1609761769323656022 -8.43768 -7.93877 180.591
1609761769328656022 -8.3972 -7.89949 180.586
1609761769333656022 -8.44013 -7.93627 180.592
1609761769338656022 -8.48304 -7.97304 180.598
1609761769343656022 -8.51529 -8.01933 180.602
1609761769348656022 -8.54753 -8.06561 180.607
1609761769353656022 -8.59107 -8.10161 180.613
1609761769358656022 -8.63405 -8.1383 180.619
1609761769363656022 -8.59296 -8.09964 180.613
1609761769368656022 -8.55185 -8.06097 180.607
1609761769373656022 -8.50655 -8.02719 180.601
1609761769378656022 -8.46124 -7.99342 180.595
1609761769383656022 -8.43941 -7.94139 180.592
1609761769388656022 -8.4176 -7.88936 180.589
1609761769393656022 -8.46046 -7.92622 180.595
1609761769398656022 -8.5033 -7.96307 180.601
1609761769403656022 -8.49386 -8.01926 180.599
1609761769408656022 -8.48427 -8.07541 180.598
1609761769413656022 -8.53007 -8.04041 180.604
1609761769418656022 -8.57585 -8.0054 180.611
1609761769423656022 -8.52329 -8.02888 180.603
1609761769428656022 -8.47071 -8.05234 180.596
