# time x y z
1609761767863656022 0 0 0
1609761767868656022 0 0 0
1609761767873656022 0 0 0
1609761767878656022 0 0 0
1609761767883656022 0 0 0
1609761767888656022 -0.0031959 -0.0138489 -0.0010653
1609761767893656022 -0.0063918 -0.010653 0.0021306
1609761767898656022 -0.0063918 0 0.0021306
1609761767903656022 -0.0063918 0 0
1609761767908656022 -0.0063918 -0.0031959 0.0010653
1609761767913656022 -0.0053265 -0.0042612 0.0010653
1609761767918656022 -0.0042612 -0.0010653 0.0010653
1609761767923656022 -0.0021306 -0.0010653 0.0031959
1609761767928656022 -0.0031959 -0.0010653 0.0021306
1609761767933656022 -0.0031959 0 0
1609761767938656022 -0.0021306 0.0021306 0.0010653
1609761767943656022 -0.0010653 0 0.0010653
1609761767948656022 -0.0031959 0 0.0031959
1609761767953656022 -0.0031959 -0.0021306 0.0031959
1609761767958656022 -0.0063918 0.0010653 0.0021306
1609761767963656022 -0.0085224 -0.0010653 0.0031959
1609761767968656022 -0.0074571 -0.0042612 0.0031959
1609761767973656022 -0.0031959 -0.0053265 0.0031959
1609761767978656022 -0.0063918 -0.0031959 0.0010653
1609761767983656022 -0.0053265 -0.0063918 0.0031959
1609761767988656022 -0.0021306 -0.0031959 0.0042612
1609761767993656022 -0.0031959 0 0.0031959
1609761767998656022 0 -0.0010653 0.0021306
1609761768003656022 -0.0010653 -0.0010653 0
1609761768008656022 -0.0010653 -0.0021306 0.0031959
1609761768013656022 -0.0021306 -0.0021306 0.0031959
1609761768018656022 -0.0031959 -0.0021306 0.0031959
1609761768023656022 -0.0063918 -0.0031959 0.0042612
1609761768028656022 -0.0074571 -0.0042612 0.0042612
1609761768033656022 -0.0074571 -0.0031959 0.0010653
1609761768038656022 -0.0063918 -0.0010653 0.0010653
1609761768043656022 -0.0031959 -0.0010653 0.0053265
1609761768048656022 -0.0031959 -0.0021306 0.0053265
1609761768053656022 -0.0021306 -0.0010653 0.0042612
1609761768058656022 -0.0031959 -0.0021306 0.0010653
1609761768063656022 -0.0031959 0.0010653 0.0021306
1609761768068656022 -0.0042612 0 0.0021306
1609761768073656022 -0.0031959 -0.0010653 0.0031959
1609761768078656022 -0.0042612 -0.0021306 0.0021306
1609761768083656022 -0.0053265 0 0.0031959
1609761768088656022 -0.0042612 -0.0010653 0.0021306
1609761768093656022 -0.0042612 -0.0010653 0.0010653
1609761768098656022 -0.0042612 0 0.0021306
1609761768103656022 -0.0010653 -0.0031959 0.0031959
1609761768108656022 -0.0053265 -0.0021306 0.0021306
1609761768113656022 -0.0053265 -0.0021306 0.0010653
1609761768118656022 -0.0031959 -0.0010653 0.0021306
1609761768123656022 -0.0053265 -0.0021306 0.0021306
1609761768128656022 -0.0053265 0 0
1609761768133656022 -0.0053265 -0.0010653 0
1609761768138656022 -0.0074571 -0.0031959 0
1609761768143656022 -0.0074571 -0.0021306 0.0021306
1609761768148656022 -0.0074571 -0.0021306 0
1609761768153656022 -0.0042612 0.0010653 0.0031959
1609761768158656022 -0.0042612 0 0.0031959
1609761768163656022 -0.0021306 -0.0021306 0.0031959
1609761768168656022 -0.0031959 -0.0021306 0.0031959
1609761768173656022 -0.0063918 0 0.0010653
1609761768178656022 -0.0063918 -0.0010653 0.0021306
1609761768183656022 -0.0063918 -0.0021306 0.0010653
1609761768188656022 -0.0042612 -0.0021306 0.0031959
1609761768193656022 -0.0031959 0 0.0021306
1609761768198656022 -0.0042612 -0.0010653 0.0010653
