# time w x y z
1609761767863656022 0.999996 -0.000358611 -0.000348416 0
1609761767868656022 0.999995 -0.000719877 -0.00069408 1.9124e-09
1609761767873656022 0.999995 -0.00108114 -0.00103974 3.82481e-09
1609761767878656022 0.999994 -0.0014418 -0.00138604 4.42147e-09
1609761767883656022 0.999993 -0.00180277 -0.001732 5.93553e-09
1609761767888656022 0.999991 -0.00216388 -0.00207856 -3.81846e-08
1609761767893656022 0.99999 -0.00252449 -0.00242565 5.41214e-08
1609761767898656022 0.999988 -0.0028851 -0.00277227 1.45397e-07
1609761767903656022 0.999986 -0.00324595 -0.00311863 1.4495e-07
1609761767908656022 0.999983 -0.0036068 -0.00346512 1.91239e-07
1609761767913656022 0.999981 -0.00396876 -0.00381043 2.46251e-07
1609761767918656022 0.999978 -0.00433068 -0.0041556 3.00858e-07
1609761767923656022 0.999975 -0.00469377 -0.00449943 4.59757e-07
1609761767928656022 0.999971 -0.00505689 -0.00484325 5.71933e-07
1609761767933656022 0.999968 -0.00541853 -0.00518858 5.75778e-07
1609761767938656022 0.999964 -0.00578011 -0.00553381 6.25741e-07
1609761767943656022 0.99996 -0.00614556 -0.00587498 7.22016e-07
1609761767948656022 0.999955 -0.00651109 -0.00621614 9.10669e-07
1609761767953656022 0.99995 -0.00687402 -0.00656016 1.06567e-06
1609761767958656022 0.999946 -0.00723707 -0.00690402 1.17228e-06
1609761767963656022 0.999941 -0.00759983 -0.00724837 1.3196e-06
1609761767968656022 0.999935 -0.00796253 -0.00759286 1.46808e-06
1609761767973656022 0.99993 -0.00832561 -0.00793677 1.62753e-06
1609761767978656022 0.999924 -0.00868882 -0.00828057 1.69222e-06
1609761767983656022 0.999918 -0.00905224 -0.00862423 1.85594e-06
1609761767988656022 0.999911 -0.00941551 -0.00896774 2.06612e-06
1609761767993656022 0.999905 -0.00977879 -0.00931112 2.22778e-06
1609761767998656022 0.999898 -0.0101419 -0.00965453 2.34461e-06
1609761768003656022 0.999891 -0.0105021 -0.010001 2.30829e-06
1609761768008656022 0.999883 -0.0108623 -0.0103475 2.41189e-06
1609761768013656022 0.999876 -0.0112241 -0.0106925 2.54691e-06
1609761768018656022 0.999868 -0.0115858 -0.0110375 2.68144e-06
1609761768023656022 0.99986 -0.0119476 -0.0113825 2.85988e-06
1609761768028656022 0.999851 -0.0123094 -0.0117276 3.03825e-06
1609761768033656022 0.999843 -0.012674 -0.0120697 3.14516e-06
1609761768038656022 0.999834 -0.0130385 -0.0124117 3.25131e-06
1609761768043656022 0.999825 -0.0134004 -0.0127563 3.48034e-06
1609761768048656022 0.999815 -0.0137623 -0.0131009 3.70992e-06
1609761768053656022 0.999806 -0.0141255 -0.0134441 3.92998e-06
1609761768058656022 0.999796 -0.0144887 -0.0137873 4.01062e-06
1609761768063656022 0.999786 -0.0148522 -0.0141299 4.14572e-06
1609761768068656022 0.999775 -0.0152158 -0.0144726 4.2807e-06
1609761768073656022 0.999765 -0.0155771 -0.0148175 4.3989e-06
