# time x y z
1609761764881714834 0 0 0
1609761764931714834 0 0 0
1609761764981714834 0 0 0
1609761765031714834 0 0 0
1609761765081714834 0 0 0
1609761765131714834 0 0 0
1609761765181714834 0 0 0
1609761765231714834 0 0 0
1609761765281714834 0 0 0
1609761765331714834 0 0 0
1609761765381714834 0 0 0
1609761765431714834 0 0 0
1609761765481714834 0 0 0
1609761765531714834 0 0 0
1609761765581714834 0 0 0
1609761765631714834 0 0 0
1609761765681714834 0 0 0
1609761765731714834 0 0 0
1609761765781714834 0 0 0
1609761765831714834 0 0 0
1609761765881714834 0 0 0
1609761765931714834 0 0 0
1609761765981714834 0 0 0
1609761766031714834 0 0 0
1609761766081714834 0 0 0
1609761766131714834 0 0 0
1609761766181714834 0 0 0
1609761766231714834 0 0 0
1609761766281714834 0 0 0
1609761766331714834 0 0 0
1609761766381714834 0 0 0
1609761766431714834 0 0 0
1609761766481714834 0 0 0
1609761766531714834 0 0 0
1609761766581714834 0 0 0
1609761766631714834 0 0 0
1609761766681714834 0 0 0
1609761766731714834 0 0 0
1609761766781714834 0 0 0
1609761766831714834 0 0 0
1609761766881714834 0 0 0
1609761766931714834 0 0 0
1609761766981714834 0 0 0
1609761767031714834 0 0 0
1609761767081714834 0 0 0
1609761767131714834 0 0 0
1609761767181714834 0 0 0
1609761767231714834 0 0 0
1609761767281714834 0 0 0
1609761767331714834 0 0 0
1609761767381714834 0 0 0
1609761767431714834 0 0 0
1609761767481714834 0 0 0
1609761767531714834 0 0 0
1609761767581714834 0 0 0
1609761767631714834 0 0 0
1609761767681714834 0 0 0
1609761767731714834 0 0 0
1609761767781714834 0 0 0
1609761767831714834 0 0 0
1609761767881714834 0 0 0
1609761767931714834 0 0 0
1609761767981714834 0 0 0
1609761768031714834 0 0 0
1609761768081714834 0 0 0
1609761768131714834 0 0 0
1609761768181714834 0 0 0
1609761768231714834 0 0 0
1609761768281714834 0 0 0
1609761768331714834 0 0 0
1609761768381714834 0 0 0
1609761768431714834 0 0 0
1609761768481714834 0 0 0
1609761768531714834 0 0 0
1609761768581714834 0 0 0
1609761768631714834 0 0 0
1609761768681714834 0 0 0
1609761768731714834 0 0 0
1609761768781714834 0 0 0
1609761768831714834 0 0 0
1609761768881714834 0 0 0
1609761768931714834 0 0 0
1609761768981714834 0 0 0
1609761769031714834 0 0 0
1609761769081714834 0 0 0
1609761769131714834 0 0 0
1609761769181714834 0 0 0
1609761769231714834 0 0 0
1609761769281714834 0 0 0
1609761769331714834 0 0 0
1609761769381714834 0 0 0
1609761769431714834 0 0 0
1609761769481714834 0 0 0
1609761769531714834 0 0 0
1609761769581714834 0 0 0
1609761769631714834 0 0 0
1609761769681714834 0 0 0
1609761769731714834 0 0 0
1609761769781714834 0 0 0
1609761769831714834 0 0 0
1609761769881714834 0 0 0
1609761769931714834 0 0 0
1609761769981714834 0 0 0
1609761770031714834 0 0 0
1609761770081714834 0 0 0
1609761770131714834 0 0 0
1609761770181714834 0 0 0
1609761770231714834 0 0 0
1609761770281714834 0 0 0
1609761770331714834 0 0 0
1609761770381714834 0 0 0
1609761770431714834 0 0 0
1609761770481714834 0 0 0
1609761770531714834 0 0 0
1609761770581714834 0 0 0
1609761770631714834 0 0 0
1609761770681714834 0 0 0
1609761770731714834 0 0 0
1609761770781714834 0 0 0
1609761770831714834 0 0 0
1609761770881714834 0 0 0
1609761770931714834 0 0 0
1609761770981714834 0 0 0
1609761771031714834 0 0 0
1609761771081714834 0 0 0
1609761771131714834 0 0 0
1609761771181714834 0 0 0
1609761771231714834 0 0 0
1609761771281714834 0 0 0
1609761771331714834 0 0 0
1609761771381714834 0 0 0
1609761771431714834 0 0 0
1609761771481714834 0 0 0
1609761771531714834 0 0 0
1609761771581714834 0 0 0
1609761771631714834 0 0 0
1609761771681714834 0 0 0
1609761771731714834 0 0 0
1609761771781714834 0 0 0
1609761771831714834 0 0 0
1609761771881714834 0 0 0
1609761771931714834 0 0 0
1609761771981714834 0 0 0
1609761772031714834 0 0 0
1609761772081714834 0 0 0
1609761772131714834 0 0 0
1609761772181714834 0 0 0
1609761772231714834 0 0 0
1609761772281714834 0 0 0
1609761772331714834 0 0 0
1609761772381714834 0 0 0
1609761772431714834 0 0 0
1609761772481714834 0 0 0
1609761772531714834 0 0 0
1609761772581714834 0 0 0
1609761772631714834 0 0 0
1609761772681714834 0 0 0
1609761772731714834 0 0 0
1609761772781714834 0 0 0
1609761772831714834 0 0 0
1609761772881714834 0 0 0
1609761772931714834 0 0 0
1609761772981714834 0 0 0
1609761773031714834 0 0 0
1609761773081714834 0 0 0
1609761773131714834 0 0 0
