# time cpu_temp x_bias y_bias z_bias
1617029588138182805 37.9873 0.0131742 -0.00213059 0.00213059
1617029588561376630 37.9561 0.0130321 -0.00198855 0.00230814
1617029588998393916 38.0049 0.0128546 -0.00237916 0.0021661
1617029589415343311 38.0127 0.0131387 -0.00177549 0.00220161
1617029589844250582 38.0088 0.0134227 -0.00198855 0.00170448
1617029590281343246 38.0166 0.0133872 -0.00191753 0.00191753
1617029590718024435 38.0264 0.0136003 -0.00205957 0.00213059
1617029591153052963 37.999 0.0133517 -0.00220161 0.00227263
1617029591532831406 38.0069 0.0134227 -0.00230814 0.00205957
1617029591892793948 38.0186 0.0138133 -0.00213059 0.00205957
1617029592304645073 38.0186 0.0131387 -0.00202406 0.00205957
1617029592741517418 38.001 0.0132452 -0.00205957 0.00152693
1617029593178432301 37.9815 0.0135648 -0.00191753 0.00213059
1617029593615174968 38.0127 0.0133872 -0.00213059 0.0025212
1617029594052112595 37.9658 0.0138134 -0.00259222 0.00227263
1617029594476594228 38.001 0.0129966 -0.00213059 0.00173998
1617029594892419347 38.0381 0.0133517 -0.00237916 0.00213059
1617029595329719459 38.0147 0.014417 -0.00262773 0.00245018
1617029595767093461 37.9795 0.0134583 -0.00266324 0.00245018
1617029596204465427 38.0186 0.0134583 -0.00191753 0.00198855
1617029596641729935 38.044 0.0132452 -0.00220161 0.0021661
1617029597078816205 38.0225 0.0134938 -0.00209508 0.00202406
1617029597516381084 38.0147 0.0135293 -0.00248569 0.00241467
1617029597901001877 37.9873 0.0133162 -0.00220161 0.00188202
1617029598260962446 38.0264 0.0133872 -0.00213059 0.0025212
1617029598662021263 38.0283 0.0138134 -0.00255671 0.00227263
1617029599099508575 38.0244 0.0130676 -0.00213059 0.00205957
1617029599536606100 38.0322 0.0132807 -0.00241467 0.00230814
1617029599973986454 38.0322 0.0134227 -0.00230814 0.00198855
1617029600410951041 38.0401 0.0132097 -0.00227263 0.00234365
1617029600841436159 38.0264 0.0134227 -0.00209508 0.00198855
1617029601205053025 38.0029 0.0134583 -0.00241467 0.00205957
1617029601565038682 38.0225 0.0131742 -0.00241467 0.00166897
1617029602001554483 38.0303 0.0130321 -0.00213059 0.00230814
1617029602438800669 38.0303 0.0130321 -0.00156244 0.00195304
1617029602875822617 38.0381 0.0135648 -0.00245018 0.00209508
1617029603308163556 38.0596 0.0132452 -0.00177549 0.00177549
1617029603745503283 38.0088 0.0130321 -0.00234365 0.00255671
1617029604156117682 37.9912 0.0136003 -0.00202406 0.00227263
1617029604516082943 38.0283 0.0136003 -0.00220161 0.00241467
1617029604887740697 38.0244 0.0133162 -0.00209508 0.00170448
1617029605325135209 38.0283 0.0131742 -0.00230814 0.00230814
1617029605761937045 37.999 0.0137423 -0.00195304 0.0025212
1617029606199457373 38.0205 0.0136713 -0.00245018 0.00205957
1617029606636040106 38.0147 0.0129256 -0.00184651 0.00195304
1617029607072776429 38.0244 0.0133162 -0.00234365 0.00234365
1617029607462545400 38.0342 0.0135293 -0.00241467 0.00227263
1617029607822533284 38.0479 0.0138134 -0.00245018 0.00255671
1617029608226364588 38.0283 0.0137068 -0.00227263 0.00184651
1617029608663098643 38.0244 0.0139199 -0.00209508 0.00220161
1617029609100069844 38.044 0.0132807 -0.00166897 0.00205957
1617029609537112493 38.0615 0.0135293 -0.00223712 0.00245018
1617029609974103197 38.0088 0.0136713 -0.00223712 0.00223712
1617029610405262280 38.0322 0.0133162 -0.00237916 0.00198855
1617029610816460034 38.0361 0.0132452 -0.00266324 0.00230814
1617029611253053177 38.0205 0.0135293 -0.00223712 0.00234365
1617029611690035817 38.0908 0.0132097 -0.00241467 0.00202406
1617029612126588816 38.0342 0.0135293 -0.00241467 0.00198855
1617029612563418130 38.0127 0.0133162 -0.00230814 0.00220161
1617029613000378590 38.0186 0.0128901 -0.00213059 0.00227263
1617029613437342536 37.9971 0.0133517 -0.00248569 0.0021661
1617029613831265477 38.042 0.0129966 -0.00234365 0.00173998
1617029614191266258 38.0244 0.0131032 -0.00202406 0.00241467
1617029614584814430 38.0498 0.0133872 -0.00273426 0.00195304
1617029615021999730 38.0088 0.0129611 -0.00245018 0.001811
1617029615459073647 38.0889 0.0133162 -0.00220161 0.00191753
1617029615896059140 38.044 0.0129966 -0.00173998 0.00220161
1617029616333102987 38.0264 0.0132097 -0.00269875 0.00184651
1617029616768262193 38.0479 0.0128191 -0.00205957 0.00202406
1617029617135644702 38.0264 0.0133162 -0.00241467 0.0025212
1617029617495627663 38.0635 0.0129966 -0.00262773 0.00262773
1617029617919217897 38.083 0.0133162 -0.00213059 0.00202406
1617029618356348124 38.044 0.0133517 -0.00266324 0.00227263
1617029618793378815 38.0401 0.0134227 -0.00205957 0.00188202
1617029619230125086 38.0518 0.0134583 -0.00234365 0.00205957
1617029619667074209 38.0479 0.0133872 -0.00237916 0.00227263
1617029620091154373 38.0381 0.0138134 -0.00223712 0.00159795
1617029620451168308 38.0401 0.0134227 -0.00245018 0.00234365
1617029620812099287 38.042 0.0135293 -0.00266324 0.00198855
1617029621249148434 38.0283 0.0138844 -0.00294732 0.00312487
1617029621685677887 38.042 0.0132452 -0.00237916 0.00195304
1617029622122485485 38.0381 0.0137068 -0.00213059 0.00220161
1617029622559319328 38.0537 0.0138489 -0.00248569 0.00209508
1617029622995921914 38.0342 0.0131742 -0.00280528 0.00245018
1617029623389912637 38.0615 0.0131742 -0.00220161 0.00227263
1617029623749890066 38.0361 0.0133162 -0.0021661 0.00184651
1617029624143488389 38.0518 0.0131742 -0.00202406 0.00184651
1617029624580372907 38.0342 0.0134227 -0.00269875 0.00230814
1617029625016964762 38.0479 0.0136358 -0.00223712 0.00220161
1617029625453460937 38.0459 0.0134583 -0.00202406 0.00237916
1617029625890396940 38.0361 0.0133517 -0.00223712 0.00248569
1617029626324976718 38.0361 0.0139909 -0.00213059 0.00230814
1617029626694614606 38.0264 0.0133162 -0.00202406 0.00188202
1617029627054655102 38.0342 0.0136713 -0.00266324 0.00237916
1617029627478519415 38.083 0.0136358 -0.00205957 0.00209508
1617029627915322374 38.0381 0.0136358 -0.00191753 0.0021661
1617029628352397351 38.0303 0.0134583 -0.00237916 0.00191753
1617029628788938632 38.044 0.0136003 -0.00227263 0.0021661
1617029629225866189 38.0557 0.0136713 -0.00273426 0.00262773
1617029629652034795 38.0654 0.0132807 -0.00227263 0.00266324
1617029630011976877 38.0322 0.0134227 -0.00220161 0.00213059
1617029630373345667 38.0205 0.0138134 -0.00191753 0.00213059
1617029630810329118 38.0654 0.0134583 -0.00188202 0.00227263
1617029631246957577 38.0654 0.0133872 -0.00262773 0.00241467
1617029631683784073 38.0303 0.0132097 -0.00280528 0.00223712
1617029632120574681 38.0381 0.0135648 -0.00248569 0.00237916
1617029632557330126 38.0596 0.0136003 -0.00202406 0.00188202
1617029632965188262 38.0654 0.0136003 -0.00266324 0.00191753
1617029633396642910 38.0518 0.0137068 -0.00262773 0.00166897
1617029633833562951 38.0693 0.0131387 -0.00248569 0.00188202
1617029634270095721 38.0459 0.0134227 -0.00266324 0.00230814
1617029634706677437 38.0947 0.0132807 -0.00259222 0.00213059
1617029635143666390 38.0713 0.0135648 -0.00237916 0.00209508
1617029635580762771 38.0303 0.0133872 -0.00220161 0.00188202
1617029636016585613 38.0381 0.0133872 -0.00245018 0.00259222
1617029636379646884 38.0479 0.0134583 -0.0021661 0.00220161
1617029636739623585 38.0244 0.0134938 -0.00273426 0.00230814
1617029637169121588 38.0928 0.0134938 -0.00259222 0.00209508
1617029637606140090 38.083 0.0131387 -0.00188202 0.0021661
1617029638042678358 38.0479 0.0132097 -0.00209508 0.00223712
1617029638479429924 38.0654 0.0136003 -0.00234365 0.00245018
1617029638916176248 38.0576 0.0132097 -0.00205957 0.0025212
1617029639318057898 38.0674 0.0132807 -0.00209508 0.00213059
1617029639677959926 38.0713 0.0134227 -0.00156244 0.00205957
1617029640065593169 38.0381 0.0134938 -0.00230814 0.00227263
1617029640501864361 38.0908 0.0131032 -0.00220161 0.00255671
1617029640938663027 38.0869 0.0130676 -0.00262773 0.00198855
1617029641375782767 38.0654 0.0134227 -0.00227263 0.00223712
1617029641812561883 38.0381 0.0133517 -0.00280528 0.00209508
1617029642249186448 38.0264 0.0130321 -0.0021661 0.00205957
1617029642624461270 38.0381 0.0131032 -0.00223712 0.00237916
1617029642984466603 38.042 0.0134583 -0.0025212 0.00198855
1617029643404583924 38.0654 0.0134227 -0.00259222 0.00188202
1617029643841244513 38.0615 0.0133162 -0.00230814 0.00213059
1617029644278384488 38.0498 0.0131742 -0.0025212 0.00213059
1617029644715525335 38.0537 0.0133162 -0.00227263 0.00202406
1617029645152682553 38.0361 0.0131387 -0.00223712 0.00173998
1617029645582840180 38.0674 0.0134227 -0.00234365 0.0021661
1617029645946530440 38.0576 0.0129966 -0.00280528 0.00191753
1617029646306548380 38.0654 0.0131387 -0.00213059 0.00245018
1617029646742725267 38.0479 0.0130676 -0.00269875 0.00223712
1617029647179863624 38.0557 0.0131742 -0.00227263 0.00209508
1617029647616999188 38.0498 0.0134227 -0.00269875 0.00213059
1617029648053939496 38.1025 0.0132807 -0.00223712 0.00198855
1617029648492219846 38.0479 0.0136003 -0.00209508 0.00198855
1617029648891048444 38.0459 0.0130676 -0.00213059 0.00213059
1617029649251076153 38.0381 0.0135293 -0.00227263 0.0021661
1617029649639323854 38.0791 0.0130676 -0.00227263 0.00248569
1617029650076210523 38.0615 0.0131032 -0.00205957 0.00213059
1617029650512936754 38.0615 0.0133517 -0.00209508 0.00198855
1617029650949573745 38.0576 0.0131742 -0.00234365 0.00234365
1617029651386692660 38.0361 0.0137423 -0.00241467 0.00266324
1617029651823936666 38.0381 0.0135648 -0.00262773 0.00202406
1617029652204502179 38.0615 0.0132807 -0.00259222 0.00191753
1617029652564493216 38.0947 0.0132097 -0.00202406 0.0021661
1617029652966108332 38.0186 0.0137423 -0.00241467 0.00245018
1617029653403121609 38.0869 0.0133162 -0.00241467 0.00230814
1617029653840020221 38.0283 0.0131387 -0.00230814 0.00213059
1617029654277001853 38.0401 0.0128191 -0.00223712 0.00227263
1617029654713919988 38.085 0.0133162 -0.00227263 0.00220161
1617029655143875454 38.0479 0.0131032 -0.00188202 0.00184651
1617029655507507882 38.044 0.0131032 -0.00241467 0.00237916
1617029655867534170 38.0635 0.0136358 -0.00191753 0.00262773
1617029656304075854 37.9971 0.0130676 -0.00188202 0.00188202
1617029656730621297 38.0576 0.0133872 -0.00269875 0.0025212
1617029657167528443 38.0361 0.0133517 -0.00255671 0.00248569
1617029657604635366 38.0459 0.0129966 -0.00259222 0.00223712
1617029658041471923 38.0654 0.0128546 -0.00223712 0.00237916
1617029658452570664 38.0654 0.0132097 -0.0028763 0.00234365
1617029658812595815 38.042 0.0136003 -0.00269875 0.00188202
1617029659182038681 38.042 0.0134938 -0.00227263 0.00245018
1617029659618788544 38.044 0.0135648 -0.00234365 0.0021661
1617029660055822866 38.0752 0.0130676 -0.0025212 0.0021661
1617029660492909636 38.0479 0.0131032 -0.00184651 0.0021661
1617029660929585449 38.0518 0.0133162 -0.00291181 0.00273426
1617029661366755221 38.0342 0.0132452 -0.00234365 0.00223712
1617029661753873113 38.0303 0.0133517 -0.00223712 0.0025212
1617029662113907683 38.0654 0.012677 -0.00223712 0.00202406
1617029662517869809 38.0361 0.0133162 -0.00230814 0.00209508
1617029662954749646 38.0576 0.0129611 -0.00195304 0.00191753
1617029663391783670 38.0381 0.0132097 -0.00227263 0.00177549
1617029663828882120 38.0518 0.0136713 -0.00276977 0.00198855
1617029664265618799 38.0537 0.0136003 -0.00241467 0.00234365
1617029664696642626 38.0772 0.0131032 -0.00220161 0.00227263
1617029665109133949 38.085 0.0130321 -0.00227263 0.00209508
1617029665545680655 38.0479 0.0132097 -0.00245018 0.00248569
1617029665982631245 38.0479 0.0130321 -0.00234365 0.00223712
1617029666419506302 38.0654 0.0130321 -0.00230814 0.00213059
1617029666856533303 38.0772 0.0129256 -0.00205957 0.00159795
1617029667293523325 38.0869 0.0129256 -0.00198855 0.00173998
1617029667730141132 38.0479 0.0134938 -0.00255671 0.00220161
1617029668122065449 38.0479 0.0131032 -0.00280528 0.00205957
1617029668482120173 38.0967 0.0132807 -0.00259222 0.00170448
1617029668878437382 38.0537 0.0130676 -0.00269875 0.00230814
1617029669315462283 38.0498 0.0132807 -0.00234365 0.00149142
